file,occupancy_total,occupancy_fraction,occupancy_x_mean,occupancy_y_mean,occupancy_z_mean,occupancy_gradient_x,occupancy_gradient_y,occupancy_gradient_z,occupancy_gradient_total,occupancy_surface,grid_entropy,grid_moi_1,grid_moi_2,grid_moi_3,moi_principal_3,rdf_mean,rdf_kurtosis,entropy_spatial,ms_bandwidth,n_vacancies
166.005000,86.0,0.086,0.86,0.86,0.86,96.0,116.0,122.0,334.0,334.0,4.454347287653507,451.2070050599775,410.23545922960915,377.27846594297154,1251.8497882368229,4.752270376207736,-0.402946554125144,4.4543472962535064,4.365620896961094,3.0
167.000000,46.0,0.046,0.46,0.46,0.46,92.0,92.0,92.0,276.0,276.0,3.8286413918890942,456.63407804643333,406.81418180164667,404.4213053693117,449.10086400000006,3.803504266981304,-1.1234628067136925,3.8286413964890946,3.196222092689922,1.0
168.001000,47.0,0.047,0.47,0.47,0.47,94.0,94.0,94.0,282.0,282.0,3.8501475970100585,323.5654869266349,312.45394815596114,282.36354364080825,459.9551851499064,3.8427651580991067,-1.0346909804091076,3.850147601710058,3.255447251677596,1.0
169.002000,48.0,0.048,0.48,0.48,0.48,96.0,96.0,96.0,288.0,288.0,3.8712010061078903,429.52822623958036,407.544128412179,398.2193120149069,475.6083567713471,3.86146102372915,-1.0030032780137854,3.871201010907891,3.2553470168389427,1.0
17.005000,86.0,0.086,0.86,0.86,0.86,116.0,110.0,112.0,338.0,338.0,4.454347287653507,450.70878487933476,422.8375761281844,399.19782503899285,1237.4004887738993,4.744091792258914,-0.4147225147080156,4.4543472962535064,4.363469791584996,3.0
170.003000,50.0,0.05,0.5,0.5,0.5,100.0,98.0,98.0,296.0,296.0,3.9120230004281464,339.05733641942516,325.2178524752467,310.6848111053283,503.7313421018121,3.8841560230635532,-0.9728813301278856,3.9120230054281455,3.4391372431678082,1.0
171.004000,46.0,0.046,0.46,0.46,0.46,88.0,90.0,88.0,266.0,266.0,3.8286413918890942,292.67777028921387,270.5914605137774,253.64381267526957,437.34004752533303,3.7918302540731426,-1.1017069543932005,3.8286413964890946,3.214069259065389,1.0
172.005000,48.0,0.048,0.48,0.48,0.48,96.0,96.0,96.0,288.0,288.0,3.8712010061078903,450.4845946615859,425.7434789514698,383.5219263869445,469.4520101215014,3.841966796343172,-1.0037039680382318,3.871201010907891,3.2371070857437574,1.0
173.000000,104.0,0.104,1.04,1.04,1.04,132.0,126.0,118.0,376.0,376.0,4.644390888741372,543.7009164286909,524.9075359011131,515.1992399778882,1842.2789480335855,5.075919407773385,-0.7489142728958265,4.6443908991413725,4.517307114162961,4.0
174.001000,101.0,0.101,1.01,1.01,1.01,200.0,200.0,198.0,598.0,598.0,4.615120506741261,582.3545621329673,577.9531288969123,553.9497347126949,1740.034325131748,5.04243187462058,-0.7603331650420282,4.6151205168412615,4.555266788379787,4.0
175.002000,106.0,0.106,1.06,1.06,1.06,122.0,110.0,146.0,378.0,378.0,4.663439083512067,595.3689570959808,568.26862402776,538.4944943479568,1896.8736077295964,5.120303732770658,-0.7049764830854803,4.663439094112068,4.622217016724144,4.0
176.003000,105.0,0.105,1.05,1.05,1.05,132.0,134.0,142.0,408.0,408.0,4.653960339657523,564.7206455482693,548.0496230131012,508.2202076291057,1829.0918719781662,5.079990855118144,-0.7086840720039058,4.653960350157524,4.592566856922938,4.0
177.004000,106.0,0.106,1.06,1.06,1.06,118.0,120.0,142.0,380.0,380.0,4.663439083512067,625.0131248147911,572.8662765602139,544.6111646627306,1831.371497913594,5.115675566571444,-0.7383541937551414,4.663439094112068,4.6228835653058065,4.0
178.005000,96.0,0.096,0.96,0.96,0.96,114.0,116.0,128.0,358.0,358.0,4.564348181867836,491.5768260668272,454.9399933816925,417.0248472181472,1560.5191809145356,4.980393123383724,-0.7407069251667169,4.5849674786705705,4.465084993112652,4.0
179.000000,47.0,0.047,0.47,0.47,0.47,94.0,94.0,94.0,282.0,282.0,3.8501475970100585,345.7637732241252,331.800827548031,300.30773965337534,458.483195877702,3.8276316362949867,-1.0830068245661983,3.850147601710058,3.220255641478542,1.0
18.000000,46.0,0.046,0.46,0.46,0.46,92.0,92.0,92.0,276.0,276.0,3.8286413918890942,455.7686498545671,406.96308353121947,405.4856579185612,449.1008640000002,3.8035042669813035,-1.1234628067136936,3.8286413964890946,3.196222092689922,1.0
180.001000,47.0,0.047,0.47,0.47,0.47,94.0,94.0,94.0,282.0,282.0,3.8501475970100585,363.6802546165428,334.4682643007279,324.14935342315493,459.81079373108906,3.8280950161454137,-1.0159208107044897,3.850147601710058,3.2416773664491374,1.0
181.002000,46.0,0.046,0.46,0.46,0.46,92.0,92.0,92.0,276.0,276.0,3.8286413918890942,401.7215611352305,373.3076241633234,349.92733644057694,446.4621608828071,3.806871963324813,-1.0697957997637069,3.8286413964890946,3.233682528702939,1.0
182.003000,50.0,0.05,0.5,0.5,0.5,100.0,98.0,100.0,298.0,298.0,3.9120230004281464,342.94156731761313,315.2689953406369,312.5494373417501,505.5663622918744,3.8899896027997984,-0.9813456048139182,3.9120230054281455,3.4590406347546434,1.0
183.004000,49.0,0.049,0.49,0.49,0.49,98.0,98.0,96.0,292.0,292.0,3.891820293210626,350.92920737170135,320.2534324052148,318.20511532512455,495.62010047806643,3.870222477111276,-0.9867660215764951,3.891820298110627,3.2612311450132627,1.0
184.005000,47.0,0.047,0.47,0.47,0.47,92.0,90.0,88.0,270.0,270.0,3.8501475970100585,307.53761875718044,273.0158195881439,261.8295403780801,468.16125838095115,3.818353450882993,-1.0748071476127683,3.850147601710058,3.2414641999273246,1.0
185.000000,88.0,0.088,0.88,0.88,0.88,110.0,118.0,120.0,348.0,348.0,4.477336805678206,471.67711609546154,420.1485243510505,395.5607231898514,1293.191889944175,4.804404028049376,-0.49193759459361,4.477336814478207,4.396181298125923,3.0
186.001000,85.0,0.085,0.85,0.85,0.85,108.0,102.0,100.0,310.0,310.0,4.442651247990316,436.2531116390258,400.2838069817351,369.4866107910036,1232.2161793668172,4.747116152931807,-0.3114498549472948,4.442651256490314,4.37575645273212,3.0
187.002000,87.0,0.087,0.87,0.87,0.87,114.0,122.0,120.0,356.0,356.0,4.465908109954582,475.74853019065404,437.1774453315941,405.51080608694735,1277.95615617927,4.791593759198894,-0.4782348077851162,4.465908118654583,4.394151475215283,3.0
188.003000,86.0,0.086,0.86,0.86,0.86,114.0,116.0,120.0,350.0,350.0,4.454347287653507,458.83907741039974,413.62732221388507,396.4173213059478,1267.6906391039483,4.751609184955616,-0.4282235553662552,4.4543472962535064,4.378491753897935,3.0
189.004000,85.0,0.085,0.85,0.85,0.85,114.0,110.0,104.0,328.0,328.0,4.442651247990316,455.36787593553123,402.0350953897574,376.80879338059356,1229.5677235216367,4.746725243286753,-0.3616591370027247,4.4543472962535064,4.369962681499002,3.0
19.001000,49.0,0.049,0.49,0.49,0.49,98.0,98.0,98.0,294.0,294.0,3.891820293210626,333.9738121326806,327.76652183203373,295.3208905250813,484.6067879195052,3.871593016603495,-1.0074902139478428,3.891820298110627,3.2685042495961207,1.0
190.005000,83.0,0.083,0.83,0.83,0.83,114.0,118.0,118.0,350.0,350.0,4.418840599496599,434.37677255089284,432.44097464937744,415.4955058117783,1207.9435481162823,4.681835277979487,-0.5082616331143601,4.4188406077966,4.22140192921781,3.0
191.000000,85.0,0.085,0.85,0.85,0.85,102.0,120.0,108.0,330.0,330.0,4.442651247990316,445.92539572254236,395.8672249135521,385.1720852462588,1271.659552876972,4.761182277616904,-0.4924362948154677,4.4543472962535064,4.400715667464976,3.0
192.001000,87.0,0.087,0.87,0.87,0.87,106.0,108.0,108.0,322.0,322.0,4.465908109954582,432.92911843074387,386.82551729598515,354.5901918594778,1265.6199379932955,4.781039348049262,-0.5333216511034777,4.465908118654583,4.3707659145721225,3.0
193.002000,84.0,0.084,0.84,0.84,0.84,126.0,116.0,114.0,356.0,356.0,4.430816790443312,446.002497997666,431.60584536752185,416.3440375871928,1239.2898961367657,4.709416264364949,-0.5236208500872528,4.4308167988433125,4.238600732183787,3.0
194.003000,84.0,0.084,0.84,0.84,0.84,116.0,110.0,114.0,340.0,340.0,4.430816790443312,441.5158217457467,415.64194459849216,384.60413841766604,1230.388019487274,4.699894349316292,-0.48189365168368026,4.4308167988433125,4.2309981407344806,3.0
195.004000,84.0,0.084,0.84,0.84,0.84,114.0,106.0,102.0,322.0,322.0,4.430816790443312,436.4279665931203,369.03082759737396,356.3031105714111,1211.099759498685,4.724343392596056,-0.39126680627194776,4.4308167988433125,4.235776030665018,3.0
196.005000,86.0,0.086,0.86,0.86,0.86,114.0,118.0,118.0,350.0,350.0,4.454347287653507,457.94336564384537,412.60312387557383,402.05816164337125,1276.8987471548598,4.730513700666035,-0.4648216184516478,4.4543472962535064,4.358519120456929,3.0
